City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,naze,28.3667,129.4833,13.51,71,100,0.97,JP,1711734365
1,praya,14.9215,-23.5087,25.3,53,40,9.77,CV,1711734366
2,buka,40.8108,69.1986,8.91,76,100,3.23,UZ,1711734366
3,port-aux-francais,-49.35,70.2167,8.18,97,100,11.37,TF,1711734367
4,grytviken,-54.2811,-36.5092,5.43,99,100,5.53,GS,1711734367
5,ushuaia,-54.8,-68.3,4.81,75,75,9.26,AR,1711734242
6,atafu village,-8.5421,-172.5159,29.12,74,97,3.84,TK,1711734368
7,tual,-5.6667,132.75,27.94,80,94,2.16,ID,1711734369
8,guerrero negro,27.9769,-114.0611,18.71,62,96,6.61,MX,1711734281
9,belmonte,-15.8631,-38.8828,29.59,66,19,2.73,BR,1711734370
10,east grand forks,47.93,-97.0245,2.13,64,100,4.12,US,1711734370
11,bamboo flat,11.7,92.7167,26.05,83,19,1.03,IN,1711734371
12,san felipe,10.3399,-68.7425,32.1,48,100,3.73,VE,1711734371
13,edinburgh of the seven seas,-37.0676,-12.3116,15.61,69,79,9.21,SH,1711734372
14,albany,42.6001,-73.9662,11.35,39,89,3.13,US,1711734134
15,oyama,36.3,139.8,15.88,80,1,1.08,JP,1711734373
16,port mathurin,-19.6833,63.4167,26.67,83,100,6.88,MU,1711734373
17,kolonia,50.9333,6.95,13.87,73,0,6.69,DE,1711734319
18,christchurch,-43.5333,172.6333,11.41,88,100,0.51,NZ,1711733686
19,minas de marcona,-15.2119,-75.1103,24.07,61,17,6.13,PE,1711734374
20,letlhakane,-21.4167,25.5833,25.78,41,83,4.47,BW,1711734374
21,la rinconada,37.4873,-5.9826,14.68,74,20,6.17,ES,1711734375
22,rongelap,11.1635,166.8941,27.16,75,100,9.12,MH,1711734375
23,mwingi,-0.9344,38.0601,22.53,78,87,1.66,KE,1711734376
24,makarska,43.2969,17.0178,15.53,74,95,5.14,HR,1711734343
25,invercargill,-46.4,168.35,10.01,95,91,0.89,NZ,1711734376
26,shar,49.5886,81.0453,6.23,82,99,6.85,KZ,1711734377
27,hamilton,39.1834,-84.5333,20.35,40,0,8.23,US,1711734213
28,constantia,44.1833,28.65,16.5,57,5,3.35,RO,1711734339
29,argo,37.6333,22.7333,17.1,63,24,0.79,GR,1711734378
30,carmo do paranaiba,-19.0008,-46.3161,27.64,70,100,2.1,BR,1711734092
31,hermanus,-34.4187,19.2345,19.33,77,65,6.44,ZA,1711734379
32,puerto baquerizo moreno,-0.9,-89.6,29.55,74,40,2.57,EC,1711734380
33,bethel,41.3712,-73.414,12.23,37,0,8.23,US,1711734278
34,quilali,13.567,-86.026,32.47,41,59,4.86,NI,1711734382
35,defiance,41.3334,-84.45,11.14,34,0,3.6,US,1711734337
36,yellowknife,62.456,-114.3525,-9.21,66,20,2.57,CA,1711734382
37,hawaiian paradise park,19.5933,-154.9731,21.13,92,100,3.09,US,1711734383
38,bolotnoye,55.6717,84.3981,0.98,87,96,5.79,RU,1711734383
39,brookings,44.3114,-96.7984,6.0,61,0,6.17,US,1711734384
